,index,group,person,image_filename,start_location_x,start_location_y,end_location_x,end_location_y,chapter_start_loc_x,chapter_start_loc_y,chapter_end_loc_x,chapter_end_loc_y
1,1,Judges,Gregory G. Katsas,Gregory G. Katsas.png,301,33,20,290,,,,
2,2,Judges,Gregory E. Maggs,Gregory E. Maggs.png,396,29,20,270,,,,
3,3,Judges,Allison Hartwell Eid,Allison Hartwell Eid.png,383,18,20,250,,,,
4,4,Judges,Thomas Rex Lee,Thomas Rex Lee.png,389,28,40,270,,,,
5,5,Judges,Carl J. Nichols,Carl J. Nichols.png,398,12,40,290,,,,
6,6,Judges,Eric D. Miller,Eric D. Miller.png,304,19,40,250,,,,
7,7,Judges,Neomi Rao,Neomi Rao.png,400,30,60,290,,,,
8,8,Judges,Margaret A. Ryan,Margaret A. Ryan.png,380,25,60,270,,,,
9,9,Judges,Emin Toro,Emin Toro.png,354,46,60,250,,,,
10,10,Judges,David Stras,David Stras.png,341,12,80,250,,,,
11,11,Judges,Martha M. Pacold,Martha M. Pacold.png,315,28,80,290,,,,
12,12,Judges,James C. Ho,James C. Ho.png,363,12,80,270,,,,
13,13,Judges,Adam M. Conrad,Adam M. Conrad.png,383,16,100,250,,,,
14,14,Judges,Allison Jones Rushing,Allison Jones Rushing.png,320,23,100,270,,,,
15,15,Judges,Liam P. Hardy,Liam P. Hardy.png,318,50,100,290,,,,
16,16,Judges,Kenton J. Skarin,Kenton J. Skarin.png,352,21,120,270,,,,
17,17,Judges,Andrew Pinson,Andrew Pinson.png,375,45,120,290,,,,
18,18,Judges,Kathryn Kimball Mizelle,Kathryn Kimball Mizelle.png,342,17,120,250,,,,
19,79,Trump Admin,Christopher Landau,Christopher Landau.png,319,37,160,250,,,,
20,80,Trump Admin,Steven G. Bradbury,Steven G. Bradbury.png,328,49,260,250,,,,
21,81,Trump Admin,Stephen R. McAllister,Stephen R. McAllister.png,346,42,160,270,,,,
22,82,Trump Admin,Patrick F. Philbin,Patrick F. Philbin.png,393,12,180,270,,,,
23,83,Trump Admin,Eric A. Grant,Eric A. Grant.png,326,39,180,250,,,,
24,84,Trump Admin,Kate Comerford Todd,Kate Comerford Todd.png,329,28,200,250,,,,
25,85,Trump Admin,Sigal Mandelker,Sigal Mandelker.png,343,16,200,270,,,,
26,86,Trump Admin,John A. Eisenberg,John A. Eisenberg.png,365,19,220,270,,,,
27,87,Trump Admin,Heath P. Tarbert,Heath P. Tarbert.png,329,36,220,250,,,,
28,88,Trump Admin,David M. Morrell,David M. Morrell.png,385,41,240,270,,,,
29,89,Trump Admin,Jennifer Bandy,Jennifer Bandy.png,348,10,240,250,,,,
30,90,Trump Admin,Scott G. Stewart,Scott G. Stewart.png,323,40,260,270,,,,
31,91,Trump Admin,Matthew B. Berry,Matthew B. Berry.png,319,17,160,290,,,,
32,92,Trump Admin,David A. Bragdon,David A. Bragdon.png,323,33,180,290,,,,
33,93,Trump Admin,Christine M. Buzzard,Christine M. Buzzard.png,351,33,200,290,,,,
34,157,Solicitors General,Joshua M. Divine,Joshua M. Divine.png,392,10,290,330,,,,
35,158,Solicitors General,Dan Himmelfarb,Dan Himmelfarb.png,350,35,290,290,,,,
36,159,Solicitors General,Gregory S. Coleman,Gregory S. Coleman.png,391,19,290,350,,,,
37,160,Solicitors General,Henry C. Whitaker,Henry C. Whitaker.png,381,20,290,310,,,,
38,161,Solicitors General,Jeff Wall,Jeff Wall.png,394,48,510,270,,,,
39,162,Solicitors General,Matt Rice,Matt Rice.png,336,23,290,270,,,,
40,235,Private Practice,Karl M. Tilleman,Karl M. Tilleman.png,344,50,290,250,,,,
41,236,Private Practice,John M. Hughes,John M. Hughes.png,381,35,310,290,,,,
42,237,Private Practice,Rebekah Perry Ricketts,Rebekah Perry Ricketts.png,354,29,310,250,,,,
43,238,Private Practice,Laura Wolk Slavis,Laura Wolk Slavis.png,400,40,310,310,,,,
44,239,Private Practice,Daniel J. Shapiro,Daniel J. Shapiro.png,324,27,310,270,,,,
45,240,Private Practice,Gilbert C. Dickey,Gilbert C. Dickey.png,385,35,310,350,,,,
46,241,Private Practice,Taylor A.R. Meehan,Taylor A.R. Meehan.png,342,30,310,330,,,,
47,242,Private Practice,Patrick N. Strawbridge,Patrick N. Strawbridge.png,396,29,510,250,,,,
48,243,Private Practice,Tyler R. Green,Tyler R. Green.png,381,32,330,350,,,,
49,244,Private Practice,Cameron Thomas Norris,Cameron Thomas Norris.png,308,38,330,270,,,,
50,245,Private Practice,Haley N. Proctor,Haley N. Proctor.png,312,15,330,310,,,,
51,246,Private Practice,Michael Corcoran,Michael Corcoran.png,367,36,330,290,,,,
52,247,Private Practice,M. Scott Proctor,M. Scott Proctor.png,388,27,330,250,,,,
53,248,Private Practice,Robert L. Dunn,Robert L. Dunn.png,378,10,330,330,,,,
54,249,Private Practice,Kate Comerford Todd,Kate Comerford Todd.png,359,23,350,350,,,,
55,250,Private Practice,Eric C. Nelson,Eric C. Nelson.png,359,34,350,330,,,,
56,251,Private Practice,Helgi C. Walker,Helgi C. Walker.png,396,15,350,250,,,,
57,252,Private Practice,Ashley E. Johnson,Ashley E. Johnson.png,394,50,350,290,,,,
58,253,Private Practice,Elizabeth P. Papez,Elizabeth P. Papez.png,366,49,350,310,,,,
59,254,Private Practice,Jacob T. Spencer,Jacob T. Spencer.png,364,27,350,270,,,,
60,255,Private Practice,Russell Balikian,Russell Balikian.png,315,19,370,310,,,,
61,256,Private Practice,Caroline Cook Lindsay,Caroline Cook Lindsay.png,378,28,370,350,,,,
62,257,Private Practice,John F. Wood,John F. Wood.png,390,20,370,290,,,,
63,258,Private Practice,Elbert Lin,Elbert Lin.png,391,33,370,270,,,,
64,259,Private Practice,James E. Gauch,James E. Gauch.png,385,38,370,250,,,,
65,260,Private Practice,Steven T. Cottreau,Steven T. Cottreau.png,316,25,370,330,,,,
66,261,Private Practice,C. Kevin Marshall,C. Kevin Marshall.png,393,50,390,350,,,,
67,262,Private Practice,Brittany Lane Kubisch,Brittany Lane Kubisch.png,390,24,390,250,,,,
68,263,Private Practice,Madeline Ward Lansky,Madeline Ward Lansky.png,398,16,390,310,,,,
69,264,Private Practice,Jack L. Millman,Jack L. Millman.png,379,38,390,330,,,,
70,265,Private Practice,Alexis Zhang,Alexis Zhang.png,351,48,390,270,,,,
71,266,Private Practice,G. Britton Lucas,G. Britton Lucas.png,339,45,390,290,,,,
72,267,Private Practice,Victoria Dorfman,Victoria Dorfman.png,330,22,410,290,,,,
73,268,Private Practice,Brian C. Lea,Brian C. Lea.png,359,25,410,310,,,,
74,269,Private Practice,David M. Morrell,David M. Morrell.png,378,49,410,350,,,,
75,270,Private Practice,Robert N. Stander,Robert N. Stander.png,350,47,410,250,,,,
76,271,Private Practice,Christopher C. Goodnow,Christopher C. Goodnow.png,305,18,410,330,,,,
77,272,Private Practice,Brandt Arthur Leibe,Brandt Arthur Leibe.png,346,14,410,270,,,,
78,273,Private Practice,Marisa C. Maleck,Marisa C. Maleck.png,345,18,430,250,,,,
79,274,Private Practice,Amy R. Upshaw,Amy R. Upshaw.png,398,22,430,290,,,,
80,275,Private Practice,Philip M. Cooper,Philip M. Cooper.png,385,10,430,350,,,,
81,276,Private Practice,Bijan M. Aboutorabi,Bijan M. Aboutorabi.png,350,12,430,330,,,,
82,277,Private Practice,Caroline Stephens Milner,Caroline Stephens Milner.png,317,12,430,270,,,,
83,278,Private Practice,Jasmine Stein,Jasmine Stein.png,395,46,430,310,,,,
84,279,Private Practice,Jennifer K. Hardy,Jennifer K. Hardy.png,307,50,450,330,,,,
85,280,Private Practice,Craig S. Primis,Craig S. Primis.png,355,27,450,350,,,,
86,281,Private Practice,Kasdin M. Mitchell,Kasdin M. Mitchell.png,303,11,450,310,,,,
87,282,Private Practice,Annie M. Wilson,Annie M. Wilson.png,354,20,450,270,,,,
88,283,Private Practice,Arthur S. Long,Arthur S. Long.png,367,20,450,290,,,,
89,284,Private Practice,Katherin C. Yarger,Katherin C. Yarger.png,364,48,450,250,,,,
90,285,Private Practice,Dan Himmelfarb,Dan Himmelfarb.png,391,22,470,350,,,,
91,286,Private Practice,C. William Courtney,C. William Courtney.png,341,17,470,250,,,,
92,287,Private Practice,John D. Adams,John D. Adams.png,352,38,470,330,,,,
93,288,Private Practice,Matthew A. Fitzgerald,Matthew A. Fitzgerald.png,381,19,470,270,,,,
94,289,Private Practice,Brian D. Schmalzbach,Brian D. Schmalzbach.png,379,43,470,310,,,,
95,290,Private Practice,William R. Peterson,William R. Peterson.png,361,13,470,290,,,,
96,291,Private Practice,Patrick L. O'Daniel,Patrick L. O'Daniel.png,387,19,490,290,,,,
97,292,Private Practice,Brian Lipshutz,Brian Lipshutz.png,368,33,490,330,,,,
98,293,Private Practice,Gregory F. Miller,Gregory F. Miller.png,376,19,490,310,,,,
99,294,Private Practice,Chantel L. Febus,Chantel L. Febus.png,342,37,490,250,,,,
100,295,Private Practice,Richard M. Corn,Richard M. Corn.png,339,36,490,350,,,,
101,296,Private Practice,Stanford I. Weisburst,Stanford I. Weisburst.png,388,42,490,270,,,,
102,297,Private Practice,Hannah Clayson Smith,Hannah Clayson Smith.png,385,30,510,290,,,,
103,298,Private Practice,Erik S. Jaffe,Erik S. Jaffe.png,343,35,510,310,,,,
104,299,Private Practice,J. Manuel Valle,J. Manuel Valle.png,326,30,510,330,,,,
105,300,Private Practice,Jonathan F. Cohn,Jonathan F. Cohn.png,368,11,510,350,,,,
106,301,Private Practice,Eric D. McArthur,Eric D. McArthur.png,329,35,290,370,,,,
107,302,Private Practice,Brian P. Morrissey Jr.,Brian P. Morrissey Jr..png,339,21,310,370,,,,
108,303,Private Practice,Michelle S. Stratton,Michelle S. Stratton.png,390,43,330,370,,,,
109,304,Private Practice,Christopher Ernest Mills,Christopher Ernest Mills.png,324,38,350,370,,,,
110,305,Private Practice,Brenden P. Cullen,Brenden P. Cullen.png,354,19,370,370,,,,
111,306,Private Practice,Eric J. Kadel Jr.,Eric J. Kadel Jr..png,348,12,390,370,,,,
112,307,Private Practice,Diane L. McGimsey,Diane L. McGimsey.png,347,17,410,370,,,,
113,308,Private Practice,Claire J. Evans,Claire J. Evans.png,380,41,430,370,,,,
114,309,Private Practice,Matthew B. Nicholson,Matthew B. Nicholson.png,356,11,450,370,,,,
115,310,Private Practice,Sarah M. Harris,Sarah M. Harris.png,351,18,470,370,,,,
116,311,Private Practice,Leila K. Mongan,Leila K. Mongan.png,343,15,490,370,,,,
117,312,Private Practice,Steven J. Lindsay,Steven J. Lindsay.png,321,33,510,370,,,,
118,313,Academia,Jim Chen,Jim Chen.png,366,50,540,250,,,,
119,314,Academia,Stephen F. Smith,Stephen F. Smith.png,316,18,540,270,,,,
120,315,Academia,Saikrishna B. Prakash,Saikrishna B. Prakash.png,383,30,560,270,,,,
121,316,Academia,John C. Yoo,John C. Yoo.png,316,43,560,250,,,,
122,317,Academia,Caleb Nelson,Caleb Nelson.png,306,48,580,270,,,,
123,318,Academia,Peter B. Rutledge,Peter B. Rutledge.png,352,46,580,250,,,,
124,319,Academia,Nicole Stelle Garnett,Nicole Stelle Garnett.png,300,17,600,250,,,,
125,320,Academia,Ann M. Scarlett,Ann M. Scarlett.png,343,43,600,270,,,,
126,321,Academia,Jennifer L. Mascott,Jennifer L. Mascott.png,331,46,620,250,,,,
127,322,Academia,Marah C. Smith,Marah C. Smith.png,303,31,620,270,,,,
128,323,Academia,Robert J. Leider,Robert J. Leider.png,348,11,540,290,,,,
129,391,Outliers and Activists,Laura Ingraham,Laura Ingraham.png,308,41,780,250,,,,
130,392,Outliers and Activists,John Eastman,John Eastman.png,312,17,780,270,,,,
131,393,Outliers and Activists,Wendy E. Long,Wendy E. Long.png,363,41,780,290,,,,
132,394,Outliers and Activists,Carrie Severino,Carrie Severino.png,352,13,800,270,,,,
133,395,Outliers and Activists,William S. Consovoy,William S. Consovoy.png,376,37,800,250,,,,
134,396,Outliers and Activists,Janet Y. Galeria,Janet Y. Galeria.png,314,27,800,290,,,,
135,397,Outliers and Activists,Adam K. Mortara,Adam K. Mortara.png,343,35,820,290,,,,